S/N,Longitude,latitude,Elevation ,Thermal.C,Thermal.D,S.H,Temp,M.C
1,3.893417,7.453417,162,1.379,0.651,2.241,27.5,0.174
2,3.893917,7.453889,186,1.63,0.874,1.866,27.55,0.187
3,3.893917,7.453667,191,1.22,0.605,2.018,28.54,0.171
4,3.893944,7.453389,192,1.899,0.746,2.546,29.17,0.192
5,3.893528,7.453444,186,1.695,0.77,2.201,28.73,0.188
6,3.893306,7.45375,165,1.081,0.68,1.615,28.64,0.169
7,3.893694,7.453417,206,1.769,0.885,2.003,31.35,0.191
8,3.894528,7.453472,190,1.999,0.797,2.511,29.33,0.194
9,3.894472,7.45375,203,1.122,0.683,1.643,30.77,0.17
10,3.8945,7.453833,183,2.057,0.926,2.221,30.06,0.198
11,3.893389,7.453861,190,2.151,0.914,2.352,25.82,0.223
12,3.893389,7.453694,202,1.358,0.596,2.279,26.49,0.211
13,3.893417,7.453444,206,1.225,0.636,1.926,26.03,0.226
14,3.89325,7.453444,199,1.809,0.822,2.201,27.95,0.218
15,3.893111,7.453444,194,1.979,0.702,2.821,30.34,0.209
16,3.893083,7.453694,196,1.335,0.761,1.754,29.25,0.216
17,3.893222,7.453917,193,1.372,1,1.372,28.69,0.199
18,3.893361,7.454139,179,1.285,0.757,1.696,28.97,0.194
19,3.893333,7.454222,159,1.707,0.723,2.362,29.54,0.21
20,3.893361,7.453556,207,1.789,0.884,2.024,29.55,0.213
21,3.892167,7.453889,188,1.691,0.98,1.725,29.65,0.162
22,3.892056,7.545111,200,1.184,0.655,1.808,29.74,0.159
23,2.891444,7.454,199,1.45,0.82,1.768,29.16,0.155
24,3.8915,7.453861,194,1.511,0.797,1.897,27.49,0.155
25,3.89175,7.454,192,1.424,0.816,1.746,30.14,0.151
26,3.891917,7.453972,190,1.81,0.802,2.256,28.97,0.152
27,3.891639,7.453944,190,1.499,0.698,2.147,30.33,0.146
28,3.898389,7.44675,191,1.096,0.354,1.431,23.82,0.152
29,3.898111,7.446944,197,1.216,0.612,1.988,24.26,0.163
30,3.89775,7.447111,198,1.254,0.513,1.86,23.14,0.168
31,3.897222,7.447528,199,1.091,0.538,2.028,24.69,0.203
32,3.896833,7.44775,200,1.018,0.486,2.093,25.76,0.21
33,3.897,7.447972,196,0.493,0.339,1.453,29.17,0.212
34,3.897417,7.447861,202,0.8,0.502,1.595,32.3,0.198
35,3.89775,7.447611,203,1.429,0.487,2.936,24.45,0.209
36,3.898194,7.447278,204,1.773,0.645,2.748,25.01,0.201
37,3.898583,7.447056,191,1.167,0.353,3.308,24.91,0.198
38,3.898722,7.447472,195,0.483,0.381,1.266,26.27,0.203
39,3.898417,7.447694,199,0.588,0.315,1.866,24.01,0.206
40,3.898,7.447889,197,1.594,0.351,4.547,23.21,0.199
